372			
name	mod1code	mod1min	mod1max
Sturdy	Armor_%	20	30
Strong	Armor_%	31	40
Glorious	Armor_%	41	50
Blessed	Armor_%	51	65
Saintly	Armor_%	66	80
Holy	Armor_%	81	100
Devious	Reduced_magic_damage	1	1
Fortified	Reduced_magic_damage	2	2
Jagged	Increased_damage_%	10	20
Deadly	Increased_damage_%	21	30
Vicious	Increased_damage_%	31	40
Brutal	Increased_damage_%	41	50
Massive	Increased_damage_%	51	65
Savage	Increased_damage_%	66	80
Merciless	Increased_damage_%	81	100
Vulpine	Manaleech	10	10
Tireless	Stamina_regeneration	50	50
Rugged	Stamina	5	10
Bronze	Attack	10	20
Iron	Attack	21	40
Steel	Attack	41	60
Silver	Attack	61	80
Gold	Attack	81	100
Platinum	Attack	101	120
Meteoric	Attack	121	150
Sharp	Attack	10	20
Fine	Attack	21	40
Warrior's	Attack	41	60
Soldier's	Attack	61	80
Knight's	Attack	81	100
Lord's	Attack	101	120
King's	Attack	121	150
Howling	Howl	128	128
Fortuitous	Increased_magic_%	10	15
Glimmering	Light	1	1
Glowing	Light	2	2
Lizard's	Mana	1	5
Snake's	Mana	5	10
Serpent's	Mana	11	20
Serpent's	Mana	11	20
Drake's	Mana	21	30
Dragon's	Mana	31	40
Dragon's	Mana	31	40
Wyrm's	Mana	41	60
Prismatic	Magic_resist_%	15	25
Prismatic	Magic_resist_%	15	15
Azure	Cold_resist	5	10
Lapis	Cold_resist	11	20
Lapis	Cold_resist	11	20
Cobalt	Cold_resist	21	30
Cobalt	Cold_resist	21	30
Sapphire	Cold_resist	31	50
Crimson	Fire_resist	5	10
Burgundy	Fire_resist	11	20
Burgundy	Fire_resist	11	20
Garnet	Fire_resist	21	30
Garnet	Fire_resist	21	30
Ruby	Fire_resist	31	50
Ocher	Lightning_resist	5	10
Tangerine	Lightning_resist	11	20
Tangerine	Lightning_resist	11	20
Coral	Lightning_resist	21	30
Coral	Lightning_resist	21	30
Amber	Lightning_resist	31	50
Beryl	Poison_resist	5	10
Jade	Poison_resist	11	20
Jade	Poison_resist	11	20
Viridian	Poison_resist	21	30
Viridian	Poison_resist	21	30
Emerald	Poison_resist	31	50
Triumphant	Mana_per_kill	1	1
Stout	Armor	3	5
Stout	Armor	6	9
Stout	Armor	10	12
Burly	Armor	13	15
Burly	Armor	16	22
Burly	Armor	23	30
Stalwart	Armor	33	40
Stalwart	Armor	44	50
Stalwart	Armor	60	100
Stout	Armor	2	3
Stout	Armor	4	6
Stout	Armor	8	12
Burly	Armor	13	18
Burly	Armor	20	30
Stalwart	Armor	30	40
Stalwart	Armor	45	60
Stout	Armor	1	1
Stout	Armor	4	8
Burly	Armor	15	20
Stalwart	Armor	20	30
Blanched	Armor	3	5
Eburin	Armor	6	15
Bone	Armor	16	32
Ivory	Armor	33	64
Sturdy	Armor_%	10	20
Sturdy	Armor_%	21	30
Strong	Armor_%	31	40
Glorious	Armor_%	41	50
Blessed	Armor_%	51	65
Saintly	Armor_%	66	80
Holy	Armor_%	81	100
Godly	Armor_%	101	200
Devious	Magic_reduction	1	1
Blank	Magic_reduction	2	2
Null	Magic_reduction	3	5
Antimagic	Magic_reduction	6	10
Red	Increased_minimum_damage	1	2
Red	Increased_minimum_damage	3	4
Sanguinary	Increased_minimum_damage	5	6
Sanguinary	Increased_minimum_damage	7	8
Bloody	Increased_minimum_damage	9	11
Red	Increased_minimum_damage	1	2
Sanguinary	Increased_minimum_damage	3	4
Bloody	Increased_minimum_damage	5	7
Red	Increased_minimum_damage	1	1
Sanguinary	Increased_minimum_damage	2	2
Bloody	Increased_minimum_damage	3	3
Scarlet	Increased_minimum_damage	1	2
Crimson	Increased_minimum_damage	3	4
Jagged	Increased_maximum_damage	1	2
Jagged	Increased_maximum_damage	3	5
Jagged	Increased_maximum_damage	6	8
Forked	Increased_maximum_damage	9	11
Forked	Increased_maximum_damage	12	14
Serrated	Increased_maximum_damage	15	17
Serrated	Increased_maximum_damage	18	20
Jagged	Increased_maximum_damage	1	2
Jagged	Increased_maximum_damage	3	4
Forked	Increased_maximum_damage	5	7
Forked	Increased_maximum_damage	8	9
Serrated	Increased_maximum_damage	10	12
Jagged	Increased_maximum_damage	1	2
Forked	Increased_maximum_damage	3	4
Serrated	Increased_maximum_damage	5	6
Carbuncle	Increased_maximum_damage	1	3
Carmine	Increased_maximum_damage	4	6
Vermillion	Increased_maximum_damage	7	9
Jagged	Increased_damage_%	10	20
Deadly	Increased_damage_%	21	30
Vicious	Increased_damage_%	31	40
Brutal	Increased_damage_%	41	50
Massive	Increased_damage_%	51	65
Savage	Increased_damage_%	66	80
Merciless	Increased_damage_%	81	100
Ferocious	Increased_damage_%	101	200
Cruel	Increased_damage_%	201	300
Cinnabar	Increased_damage_%	5	5
Rusty	Increased_damage_%	6	15
Realgar	Increased_damage_%	16	20
Ruby	Increased_damage_%	21	25
Vulpine	Damage_to_mana	7	12
Dun	Damage_to_mana	7	12
Tireless	Stamina_regeneration	25	25
Tireless	Stamina_regeneration	50	50
Brown	Stamina_regeneration	10	15
Rugged	Stamina	12	24
Rugged	Stamina	25	36
Rugged	Stamina	37	50
Rugged	Stamina	8	16
Rugged	Stamina	17	25
Rugged	Stamina	26	32
Rugged	Stamina	4	8
Rugged	Stamina	9	16
Rugged	Stamina	5	10
Rugged	Stamina	11	20
Rugged	Stamina	11	20
Vigorous	Stamina	21	30
Chestnut	Stamina	5	10
Maroon	Stamina	11	20
Bronze	Attack	6	12
Bronze	Attack	13	27
Bronze	Attack	28	42
Iron	Attack	43	57
Iron	Attack	58	72
Iron	Attack	73	87
Steel	Attack	88	102
Steel	Attack	103	117
Steel	Attack	118	132
Bronze	Attack	4	8
Bronze	Attack	6	12
Bronze	Attack	13	25
Iron	Attack	26	38
Iron	Attack	39	51
Steel	Attack	52	64
Steel	Attack	65	77
Bronze	Attack	2	4
Bronze	Attack	6	12
Iron	Attack	13	24
Steel	Attack	25	36
Bronze	Attack	10	20
Iron	Attack	21	40
Steel	Attack	41	60
Silver	Attack	61	80
Gold	Attack	81	100
Platinum	Attack	101	120
Meteoric	Attack	121	150
Strange	Attack	151	300
Weird	Attack	301	450
Nickel	Attack	5	10
Tin	Attack	11	20
Silver	Attack	21	48
Argent	Attack	49	92
Fine	Attack	10	20
Fine	Attack	21	48
Sharp	Attack	49	76
Fine	Attack	10	20
Sharp	Attack	21	48
Fine	Attack	10	20
Sharp	Attack	10	20
Fine	Attack	21	40
Warrior's	Attack	41	60
Soldier's	Attack	61	80
Knight's	Attack	81	100
Lord's	Attack	101	120
King's	Attack	121	150
Master's	Attack	151	250
Grandmaster's	Attack	251	300
Glimmering	Light	1	1
Glowing	Light	2	2
Bright	Light	1	1
Screaming	Howl	32	32
Howling	Howl	64	64
Wailing	Howl	128	128
Screaming	Howl	16	16
Howling	Howl	24	24
Wailing	Howl	32	32
Lucky	Increased_magic_%	1	1
Lucky	Increased_magic_%	2	2
Lucky	Increased_magic_%	3	4
Lucky	Increased_magic_%	1	1
Lucky	Increased_magic_%	2	2
Lucky	Increased_magic_%	3	4
Felicitous	Increased_magic_%	5	10
Fortuitous	Increased_magic_%	11	15
Emerald	Increased_magic_%	2	3
Lizard's	Mana	3	7
Lizard's	Mana	8	13
Lizard's	Mana	14	20
Snake's	Mana	21	26
Snake's	Mana	27	33
Snake's	Mana	34	39
Serpent's	Mana	40	46
Serpent's	Mana	47	52
Serpent's	Mana	53	59
Lizard's	Mana	2	4
Lizard's	Mana	5	7
Lizard's	Mana	8	12
Snake's	Mana	13	18
Snake's	Mana	19	23
Serpent's	Mana	24	29
Serpent's	Mana	30	34
Lizard's	Mana	1	2
Lizard's	Mana	3	7
Snake's	Mana	8	12
Serpent's	Mana	13	17
Lizard's	Mana	1	5
Snake's	Mana	5	10
Serpent's	Mana	11	20
Serpent's	Mana	11	20
Drake's	Mana	21	30
Dragon's	Mana	31	40
Dragon's	Mana	31	40
Wyrm's	Mana	41	60
Great_Wyrm's	Mana	61	90
Bahamut's	Mana	91	120
Zircon	Mana	4	6
Jacinth	Mana	7	12
Turquoise	Mana	13	20
Shimmering	Magic_resist	3	6
Shimmering	Magic_resist	8	13
Shimmering	Magic_resist	14	20
Shimmering	Magic_resist	3	6
Shimmering	Magic_resist	7	13
Shimmering	Magic_resist	3	6
Shimmering	Magic_resist	3	7
Rainbow	Magic_resist	8	11
Scintillating	Magic_resist	12	15
Prismatic	Magic_resist	16	20
Chromatic	Magic_resist	21	30
Shimmering	Magic_resist	3	7
Rainbow	Magic_resist	8	11
Scintillating	Magic_resist	12	15
Prismatic	Magic_resist	16	20
Chromatic	Magic_resist	21	25
Shimmering	Magic_resist	3	7
Rainbow	Magic_resist	8	11
Scintillating	Magic_resist	12	15
Shimmering	Magic_resist	2	3
Scintillating	Magic_resist	4	5
Azure	Cold_resist_%	7	15
Lapis	Cold_resist_%	16	22
Cobalt	Cold_resist_%	23	29
Sapphire	Cold_resist_%	30	36
Azure	Cold_resist_%	5	10
Lapis	Cold_resist_%	11	15
Cobalt	Cold_resist_%	16	19
Sapphire	Cold_resist_%	20	24
