386			
name	mod1code	mod1min	mod1max
of_Warming	Cold_damage	2	2
of_Thawing	Cold_damage	3	3
of_the_Dunes	Cold_damage	4	5
of_the_Sirocco	Cold_damage	6	8
of_Warming	Cold_damage	2	2
of_Thawing	Cold_damage	3	3
of_the_Dunes	Cold_damage	4	5
of_the_Sirocco	Cold_damage	6	8
of_Desire	Cold_damage	1	2
of_Coolness	Fire_damage	2	2
of_Incombustibility	Fire_damage	3	3
of_Amianthus	Fire_damage	4	5
of_Fire_Quenching	Fire_damage	6	8
of_Coolness	Fire_damage	2	2
of_Incombustibility	Fire_damage	3	3
of_Amianthus	Fire_damage	4	5
of_Fire_Quenching	Fire_damage	6	8
of_Faith	Fire_damage	1	2
of_Resistance	Lightning_damage	2	2
of_Insulation	Lightning_damage	3	3
of_Grounding	Lightning_damage	4	5
of_the_Dynamo	Lightning_damage	6	8
of_Resistance	Lightning_damage	2	2
of_Insulation	Lightning_damage	3	3
of_Grounding	Lightning_damage	4	5
of_the_Dynamo	Lightning_damage	6	8
of_Stoicism	Lightning_damage	1	2
of_Dawn	Armor_over_time	10	40
of_Balance	Balance	10	10
of_Balance	Balance	10	10
of_Balance	Balance	5	5
of_Truth	Balance	7	7
of_Equilibrium	Balance	17	17
of_Balance	Balance	8	8
of_Stability	Balance	20	20
of_Stability	Balance	24	24
of_Balance	Balance	12	12
of_Blocking	Block	10	10
of_Deflecting	Block	20	20
of_Blocking	Block	10	10
of_Deflecting	Block	20	20
of_Frost	Minimum_cold_damage	1	1
of_the_Glacier	Minimum_cold_damage	4	4
of_Frost	Minimum_cold_damage	1	1
of_Frost	Minimum_cold_damage	1	1
of_the_Icicle	Minimum_cold_damage	1	1
of_the_Glacier	Minimum_cold_damage	2	4
of_Winter	Minimum_cold_damage	3	6
of_Frost	Minimum_cold_damage	1	1
of_Frigidity	Minimum_cold_damage	1	1
of_the_Icicle	Minimum_cold_damage	2	3
of_the_Glacier	Minimum_cold_damage	4	5
of_Dexterity	Dexterity	1	1
of_Dexterity	Dexterity	1	3
of_Skill	Dexterity	4	6
of_Skill	Dexterity	4	6
of_Accuracy	Dexterity	7	10
of_Precision	Dexterity	11	15
of_Precision	Dexterity	11	15
of_Perfection	Dexterity	16	20
of_Dexterity	Dexterity	1	2
of_Skill	Dexterity	3	5
of_Accuracy	Dexterity	6	9
of_Precision	Dexterity	10	15
of_Perfection	Dexterity	16	20
of_Nirvana	Dexterity	21	30
of_Dexterity	Dexterity	1	2
of_Skill	Dexterity	3	5
of_Accuracy	Dexterity	6	9
of_Precision	Dexterity	10	15
of_Perfection	Dexterity	16	20
of_Dexterity	Dexterity	1	2
of_Skill	Dexterity	3	5
of_Accuracy	Dexterity	6	9
of_Precision	Dexterity	10	15
of_Dexterity	Dexterity	3	4
of_Dexterity	Dexterity	2	3
of_Dexterity	Dexterity	1	1
of_Dexterity	Dexterity	5	6
of_Dexterity	Dexterity	4	5
of_Dexterity	Dexterity	2	2
of_Daring	Dexterity	1	3
of_Daring	Dexterity	4	6
of_Daring	Dexterity	7	9
of_Craftsmanship	Increased_maximum_damage	1	2
of_Quality	Increased_maximum_damage	2	2
of_Maiming	Increased_maximum_damage	3	4
of_Slaying	Increased_maximum_damage	5	7
of_Gore	Increased_maximum_damage	8	10
of_Carnage	Increased_maximum_damage	11	14
of_Slaughter	Increased_maximum_damage	15	20
of_Maiming	Increased_maximum_damage	3	4
of_Craftsmanship	Increased_maximum_damage	1	1
of_Quality	Increased_maximum_damage	2	2
of_Maiming	Increased_maximum_damage	3	4
of_Slaying	Increased_maximum_damage	5	7
of_Gore	Increased_maximum_damage	8	10
of_Carnage	Increased_maximum_damage	11	14
of_Slaughter	Increased_maximum_damage	15	20
of_Butchery	Increased_maximum_damage	21	40
of_Evisceration	Increased_maximum_damage	41	63
of_Maiming	Increased_maximum_damage	3	4
of_Craftsmanship	Increased_maximum_damage	1	2
of_Craftsmanship	Increased_maximum_damage	3	5
of_Craftsmanship	Increased_maximum_damage	6	8
of_Quality	Increased_maximum_damage	9	11
of_Quality	Increased_maximum_damage	12	14
of_Maiming	Increased_maximum_damage	15	17
of_Maiming	Increased_maximum_damage	18	20
of_Craftsmanship	Increased_maximum_damage	1	2
of_Craftsmanship	Increased_maximum_damage	3	4
of_Quality	Increased_maximum_damage	5	7
of_Quality	Increased_maximum_damage	8	9
of_Maiming	Increased_maximum_damage	10	12
of_Craftsmanship	Increased_maximum_damage	1	2
of_Quality	Increased_maximum_damage	3	4
of_Maiming	Increased_maximum_damage	5	6
of_Ire	Increased_maximum_damage	1	2
of_Wrath	Increased_maximum_damage	3	6
of_Carnage	Increased_maximum_damage	7	12
of_Worth	Increased_minimum_damage	1	1
of_Measure	Increased_minimum_damage	2	2
of_Excellence	Increased_minimum_damage	3	3
of_Performance	Increased_minimum_damage	4	5
of_Measure	Increased_minimum_damage	2	2
of_Worth	Increased_minimum_damage	1	2
of_Measure	Increased_minimum_damage	3	4
of_Excellence	Increased_minimum_damage	5	8
of_Performance	Increased_minimum_damage	9	14
of_Transcendence	Increased_minimum_damage	15	20
of_Worth	Increased_minimum_damage	2	3
of_Measure	Increased_minimum_damage	4	5
of_Excellence	Increased_minimum_damage	6	9
of_Performance	Increased_minimum_damage	10	13
of_Joyfulness	Increased_minimum_damage	1	2
of_Bliss	Increased_minimum_damage	3	9
of_Energy	Energy	1	3
of_the_Mind	Energy	4	6
of_Brilliance	Energy	7	10
of_Sorcery	Energy	11	15
of_Wizardry	Energy	16	20
of_Enlightenment	Energy	21	30
of_Energy	Energy	1	3
of_the_Mind	Energy	4	6
of_Brilliance	Energy	7	10
of_Sorcery	Energy	11	15
of_Wizardry	Energy	16	20
of_Energy	Energy	1	3
of_the_Mind	Energy	4	6
of_Brilliance	Energy	7	10
