Treasure_Class	Item1	Item2	Item3
tc:Act_1_Cast_A	tc:Act_1_Junk	tc:Act_1_Equip_A	tc:Act_1_Junk
tc:Act_1_Cast_B	tc:Act_1_Junk	tc:Act_1_Equip_B	tc:Act_1_Junk
tc:Act_1_Cast_C	tc:Act_1_Junk	tc:Act_1_Equip_C	tc:Act_1_Junk
tc:Act_1_Equip_A	tc:armo3	tc:armo3	tc:armo3
tc:Act_1_Equip_B	tc:armo3	tc:armo3	tc:armo6
tc:Act_1_Equip_C	tc:armo3	tc:armo3	tc:armo6
tc:Act_1_Good	tc:armo3	tc:armo6	tc:armo9
tc:Act_1_H2H_A	tc:Act_1_Junk	tc:Act_1_Equip_A	tc:Act_1_Junk
tc:Act_1_H2H_B	tc:Act_1_Junk	tc:Act_1_Equip_B	tc:Act_1_Junk
tc:Act_1_H2H_C	tc:Act_1_Junk	tc:Act_1_Equip_C	tc:Act_1_Junk
tc:Act_1_Junk	tc:armo3	tc:armo3	tc:armo3
tc:Act_1_Miss_B	tc:Act_1_Junk	tc:Act_1_Equip_B	tc:Act_1_Junk
tc:Act_2_Cast_A	tc:Act_1_Junk	tc:Act_2_Equip_A	tc:Act_2_Junk
tc:Act_2_Cast_B	tc:Act_1_Junk	tc:Act_2_Equip_B	tc:Act_2_Junk
tc:Act_2_Equip_A	tc:armo6	tc:armo6	tc:armo9
tc:Act_2_Equip_B	tc:armo9	tc:armo9	tc:armo12
tc:Act_2_Equip_C	tc:armo12	tc:armo12	tc:armo15
tc:Act_2_H2H_A	tc:Act_1_Junk	tc:Act_2_Equip_A	tc:Act_2_Junk
tc:Act_2_H2H_B	tc:Act_1_Junk	tc:Act_2_Equip_B	tc:Act_2_Junk
tc:Act_2_H2H_C	tc:Act_1_Junk	tc:Act_2_Equip_C	tc:Act_2_Junk
tc:Act_2_Junk	tc:Act_1_Junk	tc:armo6	tc:armo6
tc:Act_2_Magic_C	tc:armo6	tc:armo9	tc:armo12
tc:Act_2_Miss_A	tc:Act_1_Junk	tc:Act_2_Equip_A	tc:Act_2_Junk
tc:Act_2_Wraith_C	tc:Act_3_Good	tc:Act_2_Magic_C	tc:armo3
tc:Act_3_Cast_A	tc:Act_1_Junk	tc:Act_3_Equip_A	tc:Act_3_Junk
tc:Act_3_Equip_A	tc:armo15	tc:armo15	tc:armo18
tc:Act_3_Equip_B	tc:armo18	tc:armo18	tc:armo21
tc:Act_3_Good	tc:armo18	tc:armo21	tc:armo24
tc:Act_3_H2H_A	tc:Act_1_Junk	tc:Act_3_Equip_A	tc:Act_3_Junk
tc:Act_3_H2H_B	tc:Act_1_Junk	tc:Act_3_Equip_B	tc:Act_3_Junk
tc:Act_3_Junk	tc:Act_2_Junk	tc:Act_1_Junk	tc:armo15
tc:Act_3_Magic_A	tc:armo18	tc:armo21	tc:armo24
tc:Act_3_Wraith_A	tc:Act_3_Good	tc:Act_3_Magic_A	tc:armo3
tc:Act_4_Cast_A	tc:Act_1_Junk	tc:Act_4_Equip_A	tc:Act_4_Junk
tc:Act_4_Equip_A	tc:armo24	tc:armo24	tc:armo27
tc:Act_4_Equip_B	tc:armo27	tc:armo27	tc:armo30
tc:Act_4_Good	tc:armo27	tc:armo30	tc:armo30
tc:Act_4_H2H_A	tc:Act_1_Junk	tc:Act_4_Equip_A	tc:Act_4_Junk
tc:Act_4_H2H_B	tc:Act_1_Junk	tc:Act_4_Equip_B	tc:Act_4_Junk
tc:Act_4_Junk	tc:Act_3_Junk	tc:Act_2_Junk	tc:armo24
tc:Act_4_Magic_A	tc:armo27	tc:armo30	tc:armo30
tc:Act_4_Wraith_A	tc:Act_4_Good	tc:Act_4_Magic_A	tc:armo3
tc:Act_5_Cast_C	tc:Act_1_Junk	tc:Act_5_Equip_C	tc:Act_5_Junk
tc:Act_5_Equip_A	tc:armo27	tc:armo27	tc:armo30
tc:Act_5_Equip_B	tc:armo30	tc:armo30	tc:armo33
tc:Act_5_Equip_C	tc:armo30	tc:armo30	tc:armo36
tc:Act_5_H2H_A	tc:Act_1_Junk	tc:Act_5_Equip_A	tc:Act_5_Junk
tc:Act_5_H2H_B	tc:Act_1_Junk	tc:Act_5_Equip_B	tc:Act_5_Junk
tc:Act_5_H2H_C	tc:Act_1_Junk	tc:Act_5_Equip_C	tc:Act_5_Junk
tc:Act_5_Junk	tc:Act_4_Junk	tc:Act_3_Junk	tc:armo30
tc:armo12	Helm	Ring_Mail	Large_Shield
tc:armo15	Scale_Mail	Bracers	Chain_Boots
tc:armo18	Full_Helm	Chain_Mail	Kite_Shield
tc:armo21	Mask	Breast_Plate	Splint_Mail
tc:armo24	Great_Helm	Tower_Shield	Bone_Helm
tc:armo27	Plate_Mail	Spirit_Mask	Avenger_Guard
tc:armo3	Cap	Quilted_Armor	Buckler
tc:armo30	Crown	Field_Plate	Gaunlets
tc:armo33	Gothic_Plate	Gothic_Shield	Griffon_Headress
tc:armo36	Light_Plate	War_Hat	Ghost_Armor
tc:armo39	Full_Plate_Mail	Sallet	Serpentskin_Armor
tc:armo6	Skull_Cap	Leather_Armor	Hard_Leather_Armor
tc:armo9	Studded_Leather	Heavy_Gloves	Heavy_Boots
tc:Diablo	tc:Act_1_Junk	tc:Act_5_Equip_A	tc:Act_5_Junk
tc:Quill_1	tc:Act_1_Junk	tc:Act_1_Junk	tc:armo3
tc:Quill_4	tc:Act_1_Junk	tc:Act_1_Junk	tc:Act_1_Good
tc:Swarm_2	tc:Act_1_Good	tc:Act_2_Magic_C	tc:Act_3_Good
tc:Trapped_Soul	tc:Act_1_Junk	tc:Act_4_Equip_A	tc:Act_4_Junk
