name	minac	maxac
Cap	3	5
Skull_Cap	8	11
Helm	15	18
Full_Helm	23	26
Great_Helm	30	35
Crown	25	45
Mask	9	27
Quilted_Armor	8	11
Leather_Armor	14	17
Hard_Leather_Armor	21	24
Studded_Leather	32	35
Ring_Mail	45	48
Scale_Mail	57	60
Chain_Mail	72	75
Breast_Plate	65	68
Splint_Mail	90	95
Plate_Mail	108	116
Field_Plate	101	105
Gothic_Plate	128	135
Full_Plate_Mail	150	161
Ancient_Armor	218	233
Light_Plate	90	107
Buckler	4	6
Small_Shield	8	10
Large_Shield	12	14
Kite_Shield	16	18
Tower_Shield	22	25
Gothic_Shield	30	35
Gloves	2	3
Heavy_Gloves	5	6
Bracers	8	9
Light_Gauntlets	9	11
Gaunlets	12	15
Leather_Boots	2	3
Heavy_Boots	5	6
Chain_Boots	8	9
Light_Plate_Boots	9	11
Plate_Boots	12	15
Sash	2	2
Light_Belt	3	3
Belt	5	5
Heavy_Belt	6	6
Girdle	8	11
Bone_Helm	33	36
Bone_Shield	10	30
Spiked_Shield	15	25
War_Hat	45	53
Sallet	52	62
Casque	63	72
Basinet	75	84
Winged_Helm	85	98
Grand_Crown	78	113
Death_Mask	54	86
Ghost_Armor	102	117
Serpentskin_Armor	111	126
Demonhide_Armor	122	136
Trellised_Armor	138	153
Linked_Mail	158	172
Tigulated_Mail	176	190
Mesh_Armor	198	213
Cuirass	188	202
Russet_Armor	225	243
Templar_Coat	252	274
Sharktooth_Armor	242	258
Embossed_Plate	282	303
Chaos_Armor	315	342
Ornate_Armor	417	450
Mage_Plate	225	261
Defender	41	49
Round_Shield	47	55
Scutum	53	61
Dragon_Shield	59	67
Pavise	68	78
Ancient_Shield	80	93
Demonhide_Gloves	28	35
Sharkskin_Gloves	33	39
Heavy_Bracers	37	44
Battle_Gauntlets	39	47
War_Gauntlets	43	53
Demonhide_Boots	28	35
Sharkskin_Boots	33	39
Mesh_Boots	37	44
Battle_Boots	39	47
War_Boots	43	53
Demonhide_Sash	29	34
Sharkskin_Belt	31	36
Mesh_Belt	35	40
Battle_Belt	37	42
War_Belt	41	52
Grim_Helm	60	125
Grim_Shield	50	150
Barbed_Shield	58	78
Wolf_Head	8	11
Hawk_Helm	4	15
Antlers	18	24
Falcon_Mask	12	28
Spirit_Mask	22	35
Jawbone_Cap	10	15
Fanged_Helm	15	20
Horned_Helm	25	30
Assault_Helmet	30	35
Avenger_Guard	35	50
Targe	8	12
Rondache	10	18
Heraldic_Shield	16	26
Aerin_Shield	26	36
Crown_Shield	30	40
Preserved_Head	2	5
Zombie_Head	4	8
Unraveller_Head	6	10
Gargoyle_Head	10	16
Demon_Head	15	20
Circlet	20	30
Coronet	30	40
Tiara	40	50
Diadem	50	60
Shako	98	141
Hydraskull	101	145
Armet	105	149
Giant_Conch	110	154
Spired_Helm	114	159
Corona	111	165
Demonhead	101	154
Dusk_Shroud	361	467
Wyrmhide	364	470
Scarab_Husk	369	474
Wire_Fleece	375	481
Diamond_Mail	383	489
Loricated_Mail	390	496
Boneweave	399	505
Great_Hauberk	395	501
Balrog_Skin	410	517
Hellforged_Plate	421	530
Kraken_Shell	417	523
Lacquered_Plate	433	541
Shadow_Plate	446	557
Sacred_Armor	487	600
Archon_Plate	410	524
Heater	81	100
Luna	84	103
Hyperion	87	106
Monarch	90	109
Aegis	94	114
Ward	100	121
Bramble_Mitts	54	62
Vampirebone_Gloves	56	65
Vambraces	59	67
Crusader_Gauntlets	59	68
Ogre_Gauntlets	62	71
Wyrmhide_Boots	54	62
Scarabshell_Boots	56	65
Boneweave_Boots	59	67
Mirrored_Boots	59	68
Myrmidon_Greaves	62	71
Spiderweb_Sash	55	62
Vampirefang_Belt	56	63
Mithril_Coil	58	65
Troll_Belt	59	66
Colossus_Girdle	61	71
Bone_Visage	70	108
Troll_Nest	65	120
Blade_Barrier	69	84
Alpha_Helm	52	62
Griffon_Headress	46	68
Hunter's_Guise	67	81
Sacred_Feathers	58	87
Totemic_Mask	73	98
Jawbone_Visor	55	68
Lion_Helm	63	75
Rage_Mask	78	90
Savage_Helmet	85	98
Slayer_Guard	93	120
Akaran_Targe	47	58
Akaran_Rondache	50	67
Protector_Shield	59	79
Guilded_Shield	74	94
Royal_Shield	80	100
Mummified_Trophy	38	48
Fetish_Trophy	41	52
Sexton_Trophy	44	55
Cantor_Trophy	50	64
Heirophant_Trophy	58	70
Blood_Spirt	101	145
Sun_Spirit	98	147
Earth_Spirit	107	152
Sky_Spirit	103	155
Dream_Spirit	109	159
Carnage_Helm	102	147
Fury_Visor	105	150
Destroyer_Helm	111	156
Conquerer_Crown	114	159
Guardian_Crown	117	168
Sacred_Targe	84	104
Sacred_Rondache	85	109
Ancient_Shield	90	115
Zakarum_Shield	97	122
Vortex_Shield	100	125
Minion_Skull	95	139
Hellspawn_Skull	96	141
Overseer_Skull	98	142
Succubae_Skull	100	146
Bloodlord_Skull	103	148
