49			
Class	Type	Level	TreasureClass
DarkHunter	CorruptRogue	2	tc:Act_1_H2H_A
SpiderMagus	EvilSpiders	23	tc:Act_3_H2H_B
Apparition	Wraith	20	tc:Act_2_Wraith_C
QuillRat	SpikeFiend	1	tc:Quill_1
TrappedSoul	special	30	tc:Trapped_Soul
Undead_RatMan	Fetish	10	tc:Act_1_H2H_C
DefiledWarrior	ReanimatedHorde	42	tc:Act_5_H2H_C
Diablo	Boss	40	tc:Diablo
SuckerNest	SuckerNest	6	tc:Act_1_H2H_B
Corpulent	Regurgitator	24	tc:Act_4_H2H_A
SaberCat	PantherWoman	15	tc:Act_2_H2H_A
DoomKnight	Undead_Horror	24	tc:Act_4_H2H_A
HellCat	PantherWoman	19	tc:Act_2_H2H_C
RazorSpine	SpikeFiend	9	tc:Quill_4
SandRaider	SandRaider	13	tc:Act_2_H2H_A
HellSwarm	Swarm	22	tc:Swarm_2
WarpedShaman	FallenShaman	40	tc:Act_5_Cast_C
HorrorMage	Skeleton	17	tc:Act_2_Cast_B
TempleGuard	BaboonDemon	24	tc:Act_3_H2H_B
Groper	Finger_Mage	24	tc:Act_4_Wraith_A
BurningDeadMage	Skeleton	14	tc:Act_2_Cast_A
BoneMage	Skeleton	10	tc:Act_1_Cast_C
OblivionKnight	Undead_Horror	30	tc:Act_4_H2H_B
FoulCrowNest	FoulCrowNest	3	tc:Act_1_Cast_A
SoulKiller	Fetish	23	tc:Act_3_H2H_B
DoomApe	BaboonDemon	22	tc:Act_3_H2H_A
VileArcher	CorruptRogue	5	tc:Act_1_Miss_B
Sexton	Cantor	22	tc:Act_3_Cast_A
PitViper	ClawViper	22	tc:Act_3_H2H_A
RatMan	Fetish	10	tc:Act_1_H2H_C
HellBuzzard	VultureDemon	22	tc:Swarm_2
BloodWing	MosquitoDemon	24	tc:Swarm_2
BloodHookNest	SuckerNest	17	tc:Act_2_H2H_B
ReturnedMage	Skeleton	8	tc:Act_1_Cast_B
Gloam	WillOWisp	21	tc:Act_3_Wraith_A
PoisonSpinner	EvilSpiders	21	tc:Act_3_H2H_A
CarverShaman	FallenShaman	6	tc:Act_1_Cast_B
ProwlingDead	ReanimatedHorde	35	tc:Act_5_H2H_B
MoonClan	Goatmen	4	tc:Act_1_H2H_A
Urdar	PinHead	32	tc:Act_4_H2H_A
SpearCat	PantherWoman	15	tc:Act_2_Miss_A
GrotesqueWyrm	Vile_Dog	30	tc:Act_4_Cast_A
BloodHawkNest	FoulCrowNest	8	tc:Act_1_Cast_B
TombViper	ClawViper	11	tc:Act_1_H2H_C
FleshHunter	CorruptRogue	23	tc:Act_3_H2H_B
Fetish	Fetish	21	tc:Act_3_H2H_A
RockDweller	BaboonDemon	18	tc:Act_2_H2H_B
ReturnedMage	Skeleton	8	tc:Act_1_Cast_B
OverSeer	OverSeer	33	tc:Act_5_H2H_A
